X,NP,experiment,sub.experiment,frt,srichness,pevenness,isimpson,cvar_C,cvar_R,cvar_L,idisp_C,idisp_R,idisp_L,fd_rich,fd_div,fd_reg
63,10,RU,ru,6.89995441830626,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,10,RU,ru,3.99590944187937,2,0.855757112053027,1.67615885752144,0.748219400789657,0.165613147914033,0.688888888888889,28.9254138151273,0.0216953223767383,0.213555555555556,0.422419029233558,1.4373933056615,0.209016145933432
65,10,RU,ru,4.00213129111922,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,10,RU,ru,6.02895953547396,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,10,RU,ru,3.98913439981577,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,10,RU,ru,10.0029709758437,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,10,RU,ru,8.95134545659137,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,10,RU,ru,2.99324722569461,3,0.533202782238038,1.47598253275109,0.44623769976176,0.661601415452454,0.67889746575289,10.018465820828,0.1550975227344,0.238900750267953,0.411196465640041,1.26741061093441,0.0229069281034735
71,10,RU,ru,2.99124224369951,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,10,RU,ru,3.00589697381838,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,10,RU,ru,11.1317349143922,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,10,RU,ru,4.01865861147276,2,0.670856159020772,1.40809386158817,0.797766985668714,0.394171779141104,0.694956949569496,26.7339694567443,0.101302147239264,0.196325338253382,0.396339532237907,1.43244531904753,0.0097771750186632
75,10,RU,ru,5.98451228327224,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,10,RU,ru,3.99821885371691,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,10,RU,ru,10.965874441205,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
