biome,N,ncom,init,frt,srichness,isimpson
med,10,18,8,128.205124,1,1.0
med,10,18,9,116.279068,1,1.0
med,10,18,10,131.578949,1,1.0
med,10,18,11,131.578949,1,1.0
med,10,18,12,121.951218,1,1.0
med,10,19,1,4.38596487,1,1.0
med,10,19,2,4.46428585,1,1.0
med,10,19,3,4.45632792,1,1.0
med,10,19,4,4.46030331,1,1.0
med,10,19,5,4.61680508,1,1.0
med,10,19,6,4.347826,1,1.0
med,10,19,7,4.4404974,1,1.0
med,10,19,8,4.57875443,1,1.0
med,10,19,9,4.42869806,1,1.0
med,10,19,10,4.47627592,1,1.0
med,10,19,11,4.39367294,1,1.0
med,10,19,12,4.45632792,1,1.0
med,10,20,1,34.2465744,3,2.12388025193103
med,10,20,2,34.4827576,3,2.1701071429681438
med,10,20,3,35.4609947,3,2.1773966278377257
med,10,20,4,35.4609947,3,2.1924781883831437
med,10,20,5,35.7142868,3,2.163159699598672
med,10,20,6,35.9712219,3,2.151383604923092
med,10,20,7,35.7142868,3,2.175129768975707
med,10,20,8,34.9650345,3,2.1546819272856186
med,10,20,9,34.7222214,3,2.16126978416093
med,10,20,10,35.2112694,3,2.177664755755386
med,10,20,11,35.2112694,3,2.1283511608159564
med,10,20,12,35.2112694,3,2.154711773321791
med,10,21,1,44.2477875,2,1.2590861400173343
med,10,21,2,47.6190491,2,1.2537397856397912
med,10,21,3,36.7647057,2,1.2864297046956437
med,10,21,4,42.0168076,2,1.2674626181036397
med,10,21,5,52.6315804,2,1.2453538830231323
med,10,21,6,39.0625,2,1.272366113855241
med,10,21,7,49.0196075,2,1.2535888628198626
med,10,21,8,45.8715591,2,1.258458337858951
med,10,21,9,32.2580643,2,1.300337578067341
med,10,21,10,32.6797371,2,1.3015623871404352
med,10,21,11,31.4465408,2,1.307547757644014
med,10,21,12,34.2465744,2,1.295996975417841
med,10,22,1,27.3224049,1,1.0
med,10,22,2,32.4675331,1,1.0
med,10,22,3,29.069767,1,1.0
med,10,22,4,30.6748466,1,1.0
med,10,22,5,29.7619057,1,1.0
med,10,22,6,31.4465408,1,1.0
med,10,22,7,29.069767,1,1.0
med,10,22,8,25.7731953,1,1.0
med,10,22,9,28.7356319,1,1.0
med,10,22,10,31.8471336,1,1.0
med,10,22,11,34.7222214,1,1.0
med,10,22,12,30.8641968,1,1.0
med,10,23,1,555.555542,2,1.899657208285932
med,10,23,2,250.0,2,1.9195059482093877
med,10,23,3,227.27272,2,1.921379239518229
med,10,23,4,200.0,2,1.9260364248052617
med,10,23,5,227.27272,2,1.9208629636294425
med,10,23,6,250.0,2,1.919337996392923
med,10,23,7,277.777771,2,1.9210022808713163
med,10,23,8,277.777771,2,1.9160501795185356
med,10,23,9,227.27272,2,1.9219303799205485
med,10,23,10,250.0,2,1.91820439025273
med,10,23,11,172.413788,2,1.9329512743263557
med,10,23,12,384.615387,2,1.9044743477829043
med,10,24,1,142.857147,2,1.1144718129440794
med,10,24,2,142.857147,2,1.2104081238010063
med,10,24,3,135.135132,2,1.2037861837059551
med,10,24,4,131.578949,2,1.0684243940081395
med,10,24,5,135.135132,2,1.151103699172702
med,10,24,6,142.857147,3,1.302577016008468
med,10,24,7,151.515152,2,1.1701512387696087
med,10,24,8,142.857147,2,1.2952007198654933
med,10,24,9,138.888885,2,1.1707687643960112
med,10,24,10,294.117645,2,1.1583564783914115
med,10,24,11,151.515152,2,1.2672307701865144
med,10,24,12,142.857147,2,1.2244396346558077
med,10,25,1,21.0970459,2,1.6526413381011946
med,10,25,2,21.5517235,2,1.689551480992671
med,10,25,3,21.0970459,2,1.6652651213432266
med,10,25,4,20.7468872,2,1.6478630619812256
med,10,25,5,21.3675213,2,1.6879160945804856
med,10,25,6,21.6450214,2,1.7209188967618987
med,10,25,7,20.6611576,2,1.6503422248992212
med,10,25,8,21.73913,2,1.6965847060808499
med,10,25,9,21.0970459,2,1.6620745152502423
med,10,25,10,21.5517235,2,1.6890257950844039
med,10,25,11,20.7468872,2,1.6460111625318676
med,10,25,12,20.833334,2,1.669335272570285
med,10,26,1,19.53125,3,1.6910842038238123
med,10,26,2,20.5761318,3,1.6305708958970773
med,10,26,3,18.939394,3,1.72813965447305
med,10,26,4,19.3050194,3,1.739008512514382
med,10,26,5,19.9203186,3,1.9403768757814308
med,10,26,6,18.4501839,3,1.6699188804756215
med,10,26,7,19.2307701,3,1.7335230055740956
med,10,26,8,17.7304974,3,1.677884169312183
med,10,26,9,19.53125,3,1.5613707647371704
med,10,26,10,18.0505409,3,1.5717700942837962
med,10,26,11,17.1232872,2,1.612240653927978
med,10,26,12,20.5761318,3,1.699803809666608
med,10,27,1,106.38298,2,1.040260873048909
med,10,27,2,96.1538467,1,1.0
med,10,27,3,121.951218,3,1.1759406097043756
med,10,27,4,113.63636,3,1.3002766928213956
med,10,27,5,119.047623,2,1.0435713620417966
med,10,27,6,113.63636,2,1.004924572522892
med,10,27,7,151.515152,2,1.0411023025621957
med,10,27,8,111.111115,2,1.0083982423239997
med,10,27,9,119.047623,1,1.0
med,10,27,10,142.857147,2,1.0033969709449146
med,10,27,11,135.135132,1,1.0
med,10,27,12,106.38298,2,1.00392715311244
med,10,28,1,17.3010387,1,1.0
med,10,28,2,18.8679237,1,1.0
med,10,28,3,17.064846,1,1.0
med,10,28,4,18.939394,1,1.0
med,10,28,5,19.8412704,1,1.0
med,10,28,6,18.5873604,1,1.0
med,10,28,7,17.5438595,1,1.0
med,10,28,8,16.0771713,1,1.0
med,10,28,9,16.666666,1,1.0
med,10,28,10,17.7935944,1,1.0
med,10,28,11,17.2413788,1,1.0
med,10,28,12,18.0505409,1,1.0
med,10,29,1,17.5438595,3,2.8802309657498095
med,10,29,2,17.2413788,3,2.583594396388821
med,10,29,3,17.3010387,3,2.7036907388781275
med,10,29,4,17.6678448,3,2.8217202943486863
med,10,29,5,17.4825172,3,2.7568822559142285
med,10,29,6,17.0068035,3,2.513808257482205
med,10,29,7,17.5438595,3,2.8585728925262184
med,10,29,8,17.3611107,3,2.6845399717980154
med,10,29,9,17.2413788,3,2.867160020414686
med,10,29,10,17.2413788,3,2.788106509244252
med,10,29,11,17.3010387,3,2.805486504510039
med,10,29,12,17.3611107,3,2.779087218181039
med,10,30,1,11.8764849,1,1.0
med,10,30,2,12.1065378,1,1.0
med,10,30,3,11.261261,1,1.0
med,10,30,4,12.2549019,1,1.0
med,10,30,5,11.6822433,1,1.0
med,10,30,6,11.9047623,1,1.0
med,10,30,7,11.8764849,1,1.0
med,10,30,8,12.0772943,1,1.0
med,10,30,9,12.3456793,1,1.0
med,10,30,10,11.7096014,1,1.0
med,10,30,11,11.3895216,1,1.0
med,10,30,12,11.1607141,1,1.0
med,10,31,1,98.0392151,1,1.0
med,10,31,2,108.695656,1,1.0
med,10,31,3,113.63636,1,1.0
med,10,31,4,113.63636,1,1.0
med,10,31,5,102.040817,1,1.0
med,10,31,6,104.166664,1,1.0
med,10,31,7,111.111115,1,1.0
med,10,31,8,96.1538467,1,1.0
med,10,31,9,131.578949,1,1.0
med,10,31,10,96.1538467,1,1.0
med,10,31,11,104.166664,1,1.0
med,10,31,12,104.166664,1,1.0
med,10,32,1,94.3396225,1,1.0
med,10,32,2,104.166664,1,1.0
med,10,32,3,106.38298,1,1.0
med,10,32,4,87.7192993,1,1.0
med,10,32,5,119.047623,1,1.0
med,10,32,6,98.0392151,1,1.0
med,10,32,7,106.38298,1,1.0
med,10,32,8,111.111115,1,1.0
med,10,32,9,113.63636,1,1.0
med,10,32,10,94.3396225,1,1.0
med,10,32,11,83.3333359,1,1.0
med,10,32,12,113.63636,1,1.0
med,10,33,1,51.5463905,1,1.0
med,10,33,2,44.2477875,1,1.0
med,10,33,3,51.0204086,1,1.0
med,10,33,4,50.0,1,1.0
med,10,33,5,50.0,1,1.0
med,10,33,6,54.3478279,1,1.0
med,10,33,7,56.1797752,1,1.0
med,10,33,8,55.5555573,1,1.0
med,10,33,9,52.6315804,1,1.0
med,10,33,10,49.5049515,1,1.0
med,10,33,11,64.102562,1,1.0
med,10,33,12,45.8715591,1,1.0
med,10,34,1,119.047623,2,1.833079190248843
med,10,34,2,125.0,2,1.8462519630188823
med,10,34,3,131.578949,2,1.8211577344201793
med,10,34,4,111.111115,2,1.850144179962303
med,10,34,5,111.111115,2,1.828124496018079
med,10,34,6,125.0,2,1.8286331469372477
med,10,34,7,151.515152,2,1.8078971187360235
med,10,34,8,111.111115,2,1.872268541695798
med,10,34,9,147.058823,2,1.7944799436733812
med,10,34,10,92.5925903,3,1.9236701329591437
med,10,34,11,128.205124,3,1.8681800386379324
med,10,34,12,119.047623,2,1.8465024066268692
med,10,35,1,23.2558136,1,1.0
med,10,35,2,23.1481476,1,1.0
med,10,35,3,23.1481476,1,1.0
med,10,35,4,24.7524757,1,1.0
med,10,35,5,25.2525253,1,1.0
med,10,35,6,22.6244335,1,1.0
med,10,35,7,23.2558136,1,1.0
med,10,35,8,25.0,1,1.0
med,10,35,9,25.3807106,1,1.0
med,10,35,10,22.421524,1,1.0
med,10,35,11,24.5098038,1,1.0
med,10,35,12,23.3644867,1,1.0
med,10,36,1,312.5,1,1.0
med,10,36,2,21.4592266,4,3.0807797737762366
med,10,36,3,21.0970459,4,2.8978012131641657
med,10,36,4,23.2558136,4,2.877181829409976
med,10,36,5,21.1864414,4,2.892876457500833
med,10,36,6,21.4592266,4,2.7232683310313335
med,10,36,7,21.5517235,4,2.9425711012783022
med,10,36,8,23.0414753,4,2.6632958339400794
med,10,36,9,22.1238937,4,2.866132025425982
med,10,36,10,22.9357796,4,2.756681176078681
med,10,36,11,22.1238937,4,2.7923617412104065
med,10,36,12,22.421524,4,2.9530096903774186
med,10,37,1,14.7492628,3,1.0378113365400703
med,10,37,2,15.3846149,3,1.2477042121418394
med,10,37,3,15.5279503,2,1.0132027242637416
med,10,37,4,16.0256405,2,1.135718584201106
med,10,37,5,14.9253731,1,1.0
med,10,37,6,14.7492628,2,1.0567687971461497
med,10,37,7,15.151515,1,1.0
med,10,37,8,13.2978725,1,1.0
med,10,37,9,13.8121548,1,1.0
med,10,37,10,15.2439022,1,1.0
med,10,37,11,14.8367949,2,1.0530395837020994
med,10,37,12,15.5763245,2,1.0033806665003002
med,10,38,1,108.695656,1,1.0
med,10,38,2,166.666672,2,1.1103461220297417
med,10,38,3,156.25,2,1.018104231410856
med,10,38,4,178.571426,2,1.1090839246220163
med,10,38,5,217.391312,2,1.0840282635074212
med,10,38,6,200.0,1,1.0
med,10,38,7,161.290329,2,1.112537670460937
med,10,38,8,178.571426,2,1.1185796388036289
med,10,38,9,172.413788,1,1.0
med,10,38,10,156.25,2,1.055768651221876
med,10,38,11,185.185181,2,1.0511930990622935
med,10,38,12,147.058823,1,1.0
med,10,39,1,131.578949,1,1.0
med,10,39,2,156.25,1,1.0
med,10,39,3,156.25,1,1.0
med,10,39,4,135.135132,1,1.0
med,10,39,5,161.290329,1,1.0
med,10,39,6,111.111115,1,1.0
med,10,39,7,161.290329,1,1.0
med,10,39,8,166.666672,1,1.0
med,10,39,9,131.578949,1,1.0
med,10,39,10,113.63636,1,1.0
med,10,39,11,156.25,1,1.0
med,10,39,12,119.047623,1,1.0
med,10,40,1,51.0204086,2,1.5661100602730893
med,10,40,2,27.3224049,2,1.362918032985103
med,10,40,3,47.1698112,2,1.796803924889234
med,10,40,4,31.6455688,2,1.811583495744559
med,10,40,5,49.5049515,2,1.6353066869642767
med,10,40,6,40.9836082,2,1.9541316543372234
med,10,40,7,43.47826,2,1.8147357360509067
med,10,40,8,36.4963493,2,1.9884088867296181
med,10,40,9,35.4609947,2,1.9539662451411315
med,10,40,10,38.4615402,2,1.982238762644386
med,10,40,11,45.8715591,2,1.7680819397699687
med,10,40,12,34.7222214,2,1.9429230274415494
med,10,41,1,36.7647057,1,1.0
med,10,41,2,44.6428566,1,1.0
med,10,41,3,42.0168076,1,1.0
med,10,41,4,42.0168076,1,1.0
med,10,41,5,38.4615402,1,1.0
med,10,41,6,34.013607,1,1.0
med,10,41,7,35.4609947,1,1.0
med,10,41,8,39.370079,1,1.0
med,10,41,9,38.1679382,1,1.0
med,10,41,10,43.103447,1,1.0
med,10,41,11,38.7596893,1,1.0
med,10,41,12,39.6825409,1,1.0
med,10,42,1,13.6612024,1,1.0
med,10,42,2,14.0056019,1,1.0
med,10,42,3,13.9664803,1,1.0
med,10,42,4,13.8888893,1,1.0
med,10,42,5,14.5772591,1,1.0
med,10,42,6,13.6239786,1,1.0
med,10,42,7,13.9664803,1,1.0
med,10,42,8,13.7362633,1,1.0
med,10,42,9,14.204545,1,1.0
med,10,42,10,13.7741051,1,1.0
med,10,42,11,13.6239786,1,1.0
med,10,42,12,14.1643057,1,1.0
med,10,43,1,86.2068939,1,1.0
med,10,43,2,68.4931488,1,1.0
med,10,43,3,71.4285736,1,1.0
med,10,43,4,87.7192993,1,1.0
med,10,43,5,62.5,1,1.0
med,10,43,6,65.7894745,1,1.0
med,10,43,7,80.6451645,1,1.0
med,10,43,8,65.7894745,1,1.0
med,10,43,9,84.7457657,1,1.0
med,10,43,10,58.139534,1,1.0
med,10,43,11,64.102562,1,1.0
med,10,43,12,73.5294113,1,1.0
med,10,44,1,48.5436897,4,3.0614486212695913
med,10,44,2,49.5049515,4,3.118435377031769
med,10,44,3,47.6190491,5,2.9653006744224624
med,10,44,4,49.0196075,4,3.110933726384321
med,10,44,5,48.0769234,4,2.9792290998690274
med,10,44,6,47.6190491,4,3.0655291020276243
med,10,44,7,48.5436897,4,3.0811771855031425
med,10,44,8,48.5436897,4,3.0861078285148413
med,10,44,9,50.5050507,4,3.1164349683361814
med,10,44,10,48.5436897,4,3.098774448716286
med,10,44,11,49.0196075,4,3.0990120657273548
med,10,44,12,48.5436897,4,3.0736417489480243
med,10,45,1,16.1812305,2,1.579628480784864
med,10,45,2,16.666666,2,1.6120637450309296
med,10,45,3,16.5562916,2,1.6129968323430781
med,10,45,4,15.8730154,2,1.55588466933442
med,10,45,5,16.1812305,2,1.5816734648959643
med,10,45,6,15.772871,2,1.5325602666661948
med,10,45,7,15.9235668,2,1.5551229088498721
med,10,45,8,15.9744406,2,1.54848677918542
med,10,45,9,16.5562916,2,1.620403256046081
med,10,45,10,15.3846149,2,1.4942914601476616
med,10,45,11,16.2337666,2,1.5888677239817535
med,10,45,12,15.8730154,2,1.5358324033019408
med,10,46,1,263.157898,1,1.0
med,10,46,2,208.333328,1,1.0
med,10,46,3,208.333328,1,1.0
med,10,46,4,131.578949,1,1.0
med,10,46,5,151.515152,1,1.0
med,10,46,6,166.666672,1,1.0
med,10,46,7,263.157898,1,1.0
med,10,46,8,192.307693,1,1.0
med,10,46,9,185.185181,1,1.0
med,10,46,10,161.290329,1,1.0
med,10,46,11,161.290329,1,1.0
med,10,46,12,200.0,1,1.0
med,10,47,1,29.069767,4,2.8041342016658457
med,10,47,2,30.1204815,4,2.792097258397521
med,10,47,3,29.4117641,4,2.8132862344011227
med,10,47,4,29.4117641,4,2.8221702752881517
med,10,47,5,29.4117641,4,2.8183181496664496
med,10,47,6,28.40909,4,2.8377354522937797
med,10,47,7,29.5857983,4,2.8034843095463553
med,10,47,8,29.2397652,4,2.808273314135976
med,10,47,9,28.40909,4,2.824693733779971
med,10,47,10,28.5714283,4,2.8162756914344134
med,10,47,11,29.7619057,4,2.783856047221253
med,10,47,12,28.5714283,4,2.8400714588143727
med,10,48,1,13.8888893,1,1.0
med,10,48,2,12.7877235,1,1.0
med,10,48,3,15.151515,1,1.0
med,10,48,4,12.5628138,1,1.0
med,10,48,5,13.4408598,1,1.0
med,10,48,6,13.020833,1,1.0
med,10,48,7,13.6612024,1,1.0
med,10,48,8,13.4770889,1,1.0
med,10,48,9,12.6903553,1,1.0
med,10,48,10,13.333333,1,1.0
med,10,48,11,13.1926117,1,1.0
med,10,48,12,13.0548306,1,1.0
med,10,49,1,7.33137846,1,1.0
med,10,49,2,6.89655161,1,1.0
med,10,49,3,7.47384167,1,1.0
med,10,49,4,7.27802038,1,1.0
med,10,49,5,7.39644957,1,1.0
med,10,49,6,7.27802038,1,1.0
med,10,49,7,7.29927015,1,1.0
med,10,49,8,7.24637699,1,1.0
med,10,49,9,7.34214401,1,1.0
med,10,49,10,7.28862953,1,1.0
med,10,49,11,7.29927015,1,1.0
med,10,49,12,7.22543335,1,1.0
med,10,50,1,19.9203186,4,2.3707796658991214
med,10,50,2,19.53125,4,2.4822930500466978
med,10,50,3,20.0,4,2.402874322299495
med,10,50,4,19.6078434,3,2.4263591301077865
med,10,50,5,19.0114059,3,2.5366995433620723
med,10,50,6,20.7468872,4,2.187552111976049
med,10,50,7,19.6078434,3,2.4270452335090615
med,10,50,8,18.4501839,3,2.607504315238215
med,10,50,9,20.1612911,3,2.295902872686533
med,10,50,10,19.0114059,4,2.532007931481658
med,10,50,11,19.2307701,4,2.5303870520067333
med,10,50,12,19.3050194,3,2.451488154623736
med,10,51,1,227.27272,1,1.0
med,10,51,2,357.142853,1,1.0
med,10,51,3,178.571426,1,1.0
med,10,51,4,333.333344,1,1.0
med,10,51,5,161.290329,1,1.0
med,10,51,6,333.333344,1,1.0
med,10,51,7,277.777771,1,1.0
med,10,51,8,333.333344,1,1.0
med,10,51,9,250.0,1,1.0
med,10,51,10,151.515152,1,1.0
med,10,51,11,238.095245,1,1.0
med,10,51,12,185.185181,1,1.0
med,10,52,1,45.8715591,5,2.45873146504647
med,10,52,2,48.5436897,4,2.162346481019962
med,10,52,3,119.047623,3,1.9766298309218597
med,10,52,4,59.5238113,4,2.1308753194012997
med,10,52,5,39.0625,5,2.4039530559265017
med,10,52,6,40.9836082,5,2.4973710346606977
med,10,52,7,39.370079,5,2.3854746902796884
med,10,52,8,28.7356319,5,2.830776104857011
med,10,52,9,40.0,5,2.415204377784716
med,10,52,10,39.6825409,5,2.38551923925724
med,10,52,11,41.6666679,5,2.4726853732145933
med,10,52,12,39.6825409,5,2.427128672509243
med,10,53,1,14.2857141,2,1.4764440310441358
med,10,53,2,14.0056019,2,1.5603417714284766
med,10,53,3,14.2857141,2,1.4666838803755706
med,10,53,4,14.0056019,2,1.591129223325369
med,10,53,5,14.5772591,2,1.4002655060747229
med,10,53,6,13.6986303,2,1.6698143684830218
med,10,53,7,13.8888893,2,1.6144646990542915
med,10,53,8,13.8888893,2,1.6347782391300765
